Date,Open,High,Low,Close,Adj Close,Volume,R3,S3
13-06-2023,11764,11804,11644,11740,11664.61719,2301469,11784,11696
14-06-2023,11716,11800,11502,11510,11436.09375,1781655,11591.95,11428.05
15-06-2023,11478,11706,11478,11686,11610.96387,2984914,11748.7,11623.3
16-06-2023,11720,11878,11718,11788,11712.30859,5017591,11832,11744
19-06-2023,11726,11746.20898,11616,11646,11571.2207,2367195,11681.80747,11610.19253
20-06-2023,11642,11776,11624,11636,11561.28516,1206664,11677.8,11594.2
21-06-2023,11582,11662,11512,11586,11511.60547,1149726,11627.25,11544.75
22-06-2023,11458,11600,11344,11600,11525.51563,1939447,11670.4,11529.6
23-06-2023,11574,11632,11392,11422,11348.65918,1228732,11488,11356
26-06-2023,11378,11450,11239.09961,11292,11219.49414,1066377,11349.99761,11234.00239
27-06-2023,11296,11332,11164,11190,11118.14844,1353695,11236.2,11143.8
28-06-2023,11300,11338,11184,11234,11161.86621,2293497,11276.35,11191.65
29-06-2023,11246,11290,11136,11236,11163.85352,2529983,11278.35,11193.65
30-06-2023,11248,11344,11180,11276,11203.59668,1408446,11321.1,11230.9
03-07-2023,10938,11044,10330,10374,10307.38867,4450775,10570.35,10177.65
04-07-2023,10360,10664,10278,10580,10512.06543,4015254,10686.15,10473.85
05-07-2023,10642,10730,10460,10620,10551.80859,2885595,10694.25,10545.75
06-07-2023,10538,10566,10294,10328,10261.68359,1911277,10402.8,10253.2
07-07-2023,10276,10308,10078,10110,10045.08301,1800903,10173.25,10046.75
10-07-2023,10150,10244,10110,10180,10114.63379,1255741,10216.85,10143.15
11-07-2023,10138,10138,10020,10082,10017.2627,1929561,10114.45,10049.55
12-07-2023,10228,10276,10084,10248,10182.19727,4075139,10300.8,10195.2
13-07-2023,10296,10352,10248,10330,10263.6709,1250510,10358.6,10301.4
14-07-2023,10328,10554,10322.5,10324,10257.70898,2472036,10387.6625,10260.3375
17-07-2023,10300,10350,10196,10200,10134.50586,1161172,10242.35,10157.65
18-07-2023,10262,10310,10206,10280,10213.99219,2368022,10308.6,10251.4
19-07-2023,10282,10590,10278,10502,10434.56641,2838541,10587.8,10416.2
20-07-2023,10488,10710,10486,10696,10627.32031,1845464,10757.6,10634.4
21-07-2023,10642,10798,10598,10770,10700.8457,1297138,10825,10715
24-07-2023,10800,10858,10707.36231,10780,10710.78125,1168905,10821.42537,10738.57463
25-07-2023,10700,10774,10628,10720,10651.16699,1638957,10760.15,10679.85
26-07-2023,10742,10790,10578,10670,10601.48731,1181359,10728.3,10611.7
27-07-2023,10802,10802,10645,10700,10631.29492,3990122,10743.175,10656.825
28-07-2023,10800,11264,10796,11058,10986.99609,6645000,11186.7,10929.3
31-07-2023,11028,11204,11022,11186,11114.17481,1639504,11236.05,11135.95
01-08-2023,11176,11254,11148,11196,11124.11035,955804,11225.15,11166.85
02-08-2023,11040,11140,10874,11096,11024.75195,1371970,11169.15,11022.85
03-08-2023,11018,11018,10778,10900,10830.01074,4910009,10966,10834
04-08-2023,10952,10968,10784,10910,10839.94629,1506764,10960.6,10859.4
07-08-2023,10894,10944,10804,10886,10816.10059,853789,10924.5,10847.5
08-08-2023,10940,11100,10834,11030,10959.17578,1977417,11103.15,10956.85
09-08-2023,11110,11212,10980.64258,11182,11110.2002,2545313,11245.62329,11118.37671
10-08-2023,11166,11184,11042,11162,11162,2848203,11201.05,11122.95
11-08-2023,11066,11124,10912,11030,11030,2243755,11088.3,10971.7
14-08-2023,11082,11126,10990,11114,11114,898615,11151.4,11076.6
15-08-2023,11126,11126,10844,10876,10876,1345290,10953.55,10798.45
16-08-2023,10884,10916,10738,10878,10878,1997373,10926.95,10829.05
17-08-2023,10894,10896,10740.91699,10792,10792,1467968,10834.64783,10749.35217
18-08-2023,10742,10754,10580,10658,10658,1807434,10705.85,10610.15
21-08-2023,10678,10806,10640,10674,10674,4598853,10719.65,10628.35
22-08-2023,10690,10768,10634,10698,10698,1105121,10734.85,10661.15
23-08-2023,10712,10813.95996,10664,10770,10770,2181058,10811.23899,10728.76101
24-08-2023,10824,10846,10742,10750,10750,674424,10778.6,10721.4
25-08-2023,10706,10752,10612,10660,10660,1044943,10698.5,10621.5
29-08-2023,10850,10900,10692,10804,10804,2978845,10861.2,10746.8
30-08-2023,10824,10866,10734,10734,10734,913945,10770.3,10697.7
31-08-2023,10714,10802,10660.93359,10662,10662,2367206,10700.79326,10623.20674
01-09-2023,10678,10734,10584,10700,10700,759392,10741.25,10658.75
04-09-2023,10744,10802,10690,10690,10690,510722,10720.8,10659.2
05-09-2023,10662,10798,10638,10736,10736,1302060,10780,10692
06-09-2023,10622,10660,10544,10606,10606,1283468,10637.9,10574.1
07-09-2023,10596,10832,10586,10824,10824,1042230,10891.65,10756.35
08-09-2023,10840,10884,10798,10846,10846,2242376,10869.65,10822.35
11-09-2023,10846,10846,10366,10502,10502,2011900,10634,10370
12-09-2023,10558,10724,10542,10684,10684,1423103,10734.05,10633.95
13-09-2023,10668,10690,10562,10582,10582,1663183,10617.2,10546.8
14-09-2023,10614,10820,10566,10814,10814,1797197,10883.85,10744.15
15-09-2023,10882,11006,10834,10940,10940,4715880,10987.3,10892.7
18-09-2023,10942,11028.67969,10684,10728,10728,1017587,10822.78691,10633.21309
19-09-2023,10614,10640,10539.39941,10616,10616,2034190,10643.66516,10588.33484
20-09-2023,10792,10950,10742,10950,10950,1568781,11007.2,10892.8
21-09-2023,10904,11079,10886,10886,10886,5277686,10939.075,10832.925
22-09-2023,10910,11190,10888,11046,11046,3547059,11129.05,10962.95
25-09-2023,11138,11260,11044,11194,11194,3471175,11253.4,11134.6
26-09-2023,11156,11262,11120,11164,11164,1606820,11203.05,11124.95
27-09-2023,11208,11310,11088,11118,11118,1501177,11179.05,11056.95
28-09-2023,11118,11190,10878,11006,11006,1491439,11091.8,10920.2
29-09-2023,11046,11234,11020,11102,11102,1752888,11160.85,11043.15
02-10-2023,11060,11188,10870,10950,10950,3816373,11037.45,10862.55
03-10-2023,10996,11070,10884,10908,10908,1297146,10959.15,10856.85
04-10-2023,10900,10940.45117,10790,10892,10892,2200732,10933.37407,10850.62593
05-10-2023,10912,10990,10858,10902,10902,1102217,10938.3,10865.7
06-10-2023,10956,10982,10858,10942,10942,1250802,10976.1,10907.9
09-10-2023,10908,10956,10810,10856,10856,2558599,10896.15,10815.85
10-10-2023,10930,11022,10784,10978,10978,1237326,11043.45,10912.55
11-10-2023,10970,11062,10868,10944,10944,2745784,10997.35,10890.65
12-10-2023,10982,11152,10884,11120,11120,1536321,11193.7,11046.3
13-10-2023,11108,11176,10884,10974,10974,1162288,11054.3,10893.7
16-10-2023,10928,10996,10831.2002,10972,10972,1702777,11017.31995,10926.68005
17-10-2023,10998,11304,10910,11270,11270,2225240,11378.35,11161.65
18-10-2023,11176,11244,10593.55762,10612,10612,3678685,10790.87166,10433.12834
19-10-2023,10538,10652,10440,10488,10488,2131732,10546.3,10429.7
20-10-2023,10474,10534,10364,10430,10430,2024298,10476.75,10383.25
23-10-2023,10464,10522,10082,10100,10100,2181139,10221,9979
24-10-2023,10264,10456,10062,10438,10438,2379083,10546.35,10329.65
25-10-2023,10466,10566,10372,10546,10546,2347407,10599.35,10492.65
26-10-2023,10438,10514,10368,10392,10392,2652740,10432.15,10351.85
27-10-2023,10288,10458,10102,10124,10124,1707716,10221.9,10026.1
30-10-2023,10140,10320,10088,10218,10218,4438387,10281.8,10154.2
31-10-2023,10278,10330,10162,10250,10250,2913453,10296.2,10203.8
01-11-2023,10298,10402,10162,10336,10336,1837433,10402,10270
02-11-2023,10376,10440,10264,10362,10362,1595747,10410.4,10313.6
03-11-2023,10334,10416,10160,10270,10270,1219573,10340.4,10199.6
06-11-2023,10248,10320,10194,10276,10276,1893919,10310.65,10241.35
07-11-2023,10208,10290,10146,10230,10230,1729632,10269.6,10190.4
08-11-2023,10248,10400,10170,10170,10170,4678524,10233.25,10106.75
09-11-2023,10600,10600,10274,10436,10436,2005703,10525.65,10346.35
10-11-2023,10402,10510,10026,10090,10090,1775830,10223.1,9956.9
13-11-2023,10182,10314,10122,10248,10248,1737947,10300.8,10195.2
14-11-2023,10304,10332,10146,10186,10186,1464278,10237.15,10134.85
15-11-2023,10230,10290,10058,10090,10090,1944444,10153.8,10026.2
16-11-2023,10066,10178,10012,10166,10166,2120644,10211.65,10120.35
17-11-2023,10212,10328,10178,10260,10260,1631489,10301.25,10218.75
20-11-2023,10132,10246,10042,10106,10106,1727350,10162.1,10049.9
21-11-2023,10106,10192,10040,10192,10192,858427,10233.8,10150.2
22-11-2023,10176,10238,10072,10086,10086,1785560,10131.65,10040.35
23-11-2023,10110,10246,9983,10174,10174,735970,10246.325,10101.675
24-11-2023,10198,10264,10118,10180,10180,1108994,10220.15,10139.85
27-11-2023,10142,10236,9976,9976,9976,1447262,10047.5,9904.5
28-11-2023,9956,10068,9851,9900,9900,3203391,9959.675,9840.325
29-11-2023,9894,10084,9778,10032,10032,1725710,10116.15,9947.85
30-11-2023,10036,10158,9895,10126,10126,9359776,10198.325,10053.675
01-12-2023,10188,10304,9993,10198,10198,1154807,10283.525,10112.475
04-12-2023,10138,10278,10086,10266,10266,1170647,10318.8,10213.2
05-12-2023,10214,10328,10080,10144,10144,1325441,10212.2,10075.8
06-12-2023,10194,10256,10082,10130,10130,2642947,10177.85,10082.15
07-12-2023,10110,10190,10026,10098,10098,1517762,10143.1,10052.9
08-12-2023,10124,10196,10036,10122,10122,1060358,10166,10078
11-12-2023,10096,10150,9949,10096,10096,1756079,10151.275,10040.725
12-12-2023,10124,10283.72656,10104,10172,10172,2707895,10221.4248,10122.5752
13-12-2023,10212,10498,10110,10390,10390,2683892,10496.7,10283.3
14-12-2023,10532,10690,10328,10468,10468,5495627,10567.55,10368.45
15-12-2023,10362,10430,10140,10186,10186,5082046,10265.75,10106.25
18-12-2023,10220,10382,10124,10356,10356,1600437,10426.95,10285.05
19-12-2023,10356,10424,10272,10346,10346,2158756,10387.8,10304.2
20-12-2023,10412,10560,10282,10484,10484,3950260,10560.45,10407.55
21-12-2023,10436,10552,10368,10480,10480,2224399,10530.6,10429.4
22-12-2023,10350,10454,10350,10436,10436,651734,10464.6,10407.4
27-12-2023,10472,10622,10428,10528,10528,1044256,10581.35,10474.65
28-12-2023,10564,10712,10350,10574,10574,708410,10673.55,10474.45
29-12-2023,10526,10662,10306,10600,10600,455940,10697.9,10502.1
02-01-2024,10632,10838,10534,10788,10788,1688733,10871.6,10704.4
03-01-2024,10686,10810,10626,10740,10740,2972338,10790.6,10689.4
04-01-2024,10768,10902,10746,10864,10864,1896074,10906.9,10821.1
05-01-2024,10756,10842,10714,10758,10758,1161094,10793.2,10722.8
08-01-2024,10716,10772,10676,10772,10772,1921363,10798.4,10745.6
09-01-2024,10834,10918,10814,10902,10902,3005457,10930.6,10873.4
10-01-2024,10830,10926,10810,10900,10900,1411866,10931.9,10868.1
11-01-2024,10928,11022,10716,10830,10830,2156932,10914.15,10745.85
12-01-2024,10838,10888,10814,10862,10862,1212597,10882.35,10841.65
15-01-2024,10824,10900,10804,10852,10852,2283608,10878.4,10825.6
16-01-2024,10714,10766,10478,10646,10646,2913853,10725.2,10566.8
17-01-2024,10500,10570,10360,10446,10446,2279952,10503.75,10388.25
18-01-2024,10366,10434,10342,10432,10432,4541622,10457.3,10406.7
19-01-2024,10458,10654,10458,10508,10508,2568801,10561.9,10454.1
22-01-2024,10468,10904,10452,10590,10590,4529556,10714.3,10465.7
23-01-2024,10584,10626,10370,10452,10452,3506309,10522.4,10381.6
24-01-2024,10508,10536,10398,10454,10454,1801745,10491.95,10416.05
25-01-2024,10432,10474,10362,10448,10448,1237869,10478.8,10417.2
26-01-2024,10526,10660,10521.67969,10546,10546,2343648,10584.03809,10507.96191
29-01-2024,10550,10614,10512,10568,10568,1795640,10596.05,10539.95
30-01-2024,10578,10682,10562,10586,10586,1999073,10619,10553
31-01-2024,10610,10654,10500,10500,10500,2715037,10542.35,10457.65
01-02-2024,10548,10566,10392,10430,10430,1467962,10477.85,10382.15
