Date,Open,High,Low,Close,Adj Close,Volume
2023-06-22,1362.400024,1362.400024,1337.000000,1359.000000,1318.770752,6145977
2023-06-23,1390.000000,1444.000000,1382.264038,1425.199951,1383.011108,17100543
2023-06-26,1432.199951,1437.000000,1414.599976,1419.800049,1377.770996,7230691
2023-06-27,1422.400024,1430.199951,1398.800049,1402.199951,1360.692017,4469685
2023-06-28,1400.199951,1411.800049,1395.599976,1402.400024,1360.885986,5968983
2023-06-29,1401.800049,1410.199951,1387.400024,1394.000000,1352.734741,6384657
2023-06-30,1400.800049,1407.000000,1382.199951,1388.800049,1347.688721,9824750
2023-07-03,1388.800049,1404.400024,1382.400024,1386.599976,1345.553833,4988707
2023-07-04,1388.400024,1396.800049,1377.599976,1379.000000,1338.178833,5524419
2023-07-05,1376.000000,1379.199951,1364.599976,1366.599976,1326.145752,5324069
2023-07-06,1360.000000,1364.599976,1336.000000,1336.800049,1297.228027,6359743
2023-07-07,1319.000000,1333.000000,1310.400024,1316.000000,1277.043701,7033057
2023-07-10,1314.599976,1329.199951,1312.000000,1316.599976,1277.625977,5261776
2023-07-11,1312.400024,1318.199951,1302.599976,1318.000000,1278.984497,9352134
2023-07-12,1320.599976,1332.800049,1312.000000,1331.800049,1292.375977,11626180
2023-07-13,1327.800049,1341.599976,1327.114990,1330.000000,1290.629272,8344519
2023-07-14,1316.000000,1335.000000,1313.599976,1320.199951,1281.119263,4731726
2023-07-17,1318.800049,1328.400024,1317.400024,1318.599976,1279.566650,3467058
2023-07-18,1314.400024,1337.199951,1314.400024,1332.599976,1293.152222,5044047
2023-07-19,1338.000000,1370.000000,1336.949951,1360.400024,1320.129395,3922590
2023-07-20,1364.800049,1390.199951,1364.800049,1387.199951,1346.135986,6552857
2023-07-21,1390.000000,1396.599976,1375.199951,1388.199951,1347.106445,6357977
2023-07-24,1388.800049,1397.000000,1378.800049,1395.800049,1354.481445,3034868
2023-07-25,1388.000000,1393.599976,1379.599976,1393.000000,1351.764282,6985150
2023-07-26,1378.000000,1418.998047,1374.199951,1385.400024,1344.389404,8928673
2023-07-27,1399.199951,1423.599976,1392.599976,1405.599976,1363.991333,15636173
2023-07-28,1403.599976,1410.199951,1381.599976,1383.000000,1342.060303,5424219
2023-07-31,1382.000000,1391.800049,1377.000000,1384.599976,1343.613037,6335108
2023-08-01,1382.400024,1387.199951,1371.599976,1371.599976,1330.997803,3594762
2023-08-02,1358.599976,1372.800049,1346.961060,1367.400024,1326.922119,4297793
2023-08-03,1361.199951,1367.599976,1337.801025,1345.400024,1305.573364,7455991
2023-08-04,1346.199951,1349.400024,1330.193970,1347.000000,1307.125977,3183572
2023-08-07,1351.599976,1355.800049,1347.000000,1352.199951,1312.172119,3069173
2023-08-08,1354.199951,1372.199951,1352.000000,1365.000000,1324.593262,9768965
2023-08-09,1375.800049,1385.040039,1370.000000,1383.599976,1342.642578,14448313
2023-08-10,1386.199951,1387.599976,1375.000000,1387.599976,1346.524170,4161646
2023-08-11,1380.000000,1385.199951,1361.800049,1371.000000,1330.415649,7487995
2023-08-14,1384.800049,1393.800049,1382.400024,1386.000000,1344.971558,4552074
2023-08-15,1392.199951,1395.800049,1368.400024,1377.199951,1336.432007,4202504
2023-08-16,1382.400024,1385.000000,1366.000000,1370.599976,1330.027466,5185700
2023-08-17,1353.000000,1359.199951,1340.000000,1357.800049,1331.203979,3544992
2023-08-18,1358.000000,1361.000000,1341.599976,1349.000000,1322.576294,4700148
2023-08-21,1346.599976,1353.000000,1342.599976,1347.400024,1321.007568,3832936
2023-08-22,1349.400024,1359.000000,1340.599976,1357.000000,1330.419678,5174516
2023-08-23,1358.599976,1383.000000,1354.667969,1364.800049,1338.066772,10683767
2023-08-24,1371.400024,1388.272949,1366.599976,1371.599976,1344.733643,2659724
2023-08-25,1368.199951,1378.800049,1365.349976,1374.000000,1347.086548,3144046
2023-08-29,1389.400024,1417.400024,1386.800049,1397.800049,1370.420410,12359488
2023-08-30,1400.800049,1405.199951,1394.000000,1397.599976,1370.224365,4270885
2023-08-31,1400.000000,1405.199951,1388.800049,1388.800049,1361.596802,7504870
2023-09-01,1392.400024,1393.400024,1384.000000,1387.599976,1360.420166,3352641
2023-09-04,1391.599976,1395.400024,1372.199951,1373.599976,1346.694458,2743853
2023-09-05,1367.400024,1390.400024,1363.000000,1381.400024,1354.341675,7693914
2023-09-06,1366.000000,1380.599976,1359.599976,1376.599976,1349.635620,3453524
2023-09-07,1369.599976,1390.199951,1365.217041,1388.199951,1361.008423,2641437
2023-09-08,1395.400024,1448.599976,1390.400024,1444.199951,1415.911499,24442075
2023-09-11,1460.400024,1482.199951,1453.599976,1468.800049,1440.029785,7280368
2023-09-12,1475.000000,1484.000000,1459.199951,1466.599976,1437.872803,4090042
2023-09-13,1465.599976,1470.000000,1454.400024,1463.800049,1435.127686,4317908
2023-09-14,1470.000000,1491.000000,1462.199951,1487.199951,1458.069336,6458627
2023-09-15,1502.000000,1518.800049,1495.800049,1509.599976,1480.030518,19682560
2023-09-18,1509.000000,1522.000000,1499.199951,1505.400024,1475.912842,5833009
2023-09-19,1503.199951,1506.599976,1489.199951,1503.000000,1473.559814,6099451
2023-09-20,1513.800049,1534.400024,1512.599976,1534.400024,1504.344849,12724370
2023-09-21,1536.000000,1550.800049,1530.599976,1530.599976,1500.619141,9284366
2023-09-22,1529.800049,1544.199951,1518.599976,1527.800049,1497.874146,9824011
2023-09-25,1522.199951,1538.199951,1517.599976,1535.800049,1505.717407,9048411
2023-09-26,1540.000000,1554.599976,1532.199951,1532.199951,1502.187866,5867332
2023-09-27,1536.000000,1539.000000,1514.599976,1518.599976,1488.854248,6077411
2023-09-28,1523.400024,1523.599976,1489.800049,1494.000000,1464.736084,9029045
2023-09-29,1487.599976,1501.800049,1481.400024,1492.000000,1462.775269,8075616
2023-10-02,1490.199951,1502.400024,1471.199951,1484.000000,1454.932007,7731897
2023-10-03,1488.599976,1504.000000,1479.400024,1485.199951,1456.108398,7493233
2023-10-04,1480.400024,1497.400024,1474.000000,1486.800049,1457.677124,12872501
2023-10-05,1485.199951,1491.599976,1471.400024,1483.000000,1453.951538,4687075
2023-10-06,1494.599976,1503.400024,1470.199951,1499.400024,1470.030396,7150331
2023-10-09,1502.000000,1521.000000,1498.599976,1508.199951,1478.657837,4565561
2023-10-10,1517.599976,1525.400024,1512.199951,1521.400024,1491.599487,5779676
2023-10-11,1551.800049,1563.199951,1514.000000,1519.199951,1489.442383,6207415
2023-10-12,1530.199951,1533.199951,1511.199951,1519.800049,1490.030762,8279234
2023-10-13,1521.599976,1531.000000,1505.599976,1510.000000,1480.422607,5934828
2023-10-16,1513.400024,1513.400024,1488.000000,1493.199951,1463.951660,7625405
2023-10-17,1495.400024,1509.199951,1482.800049,1504.199951,1474.736206,7456042
2023-10-18,1497.599976,1513.000000,1493.000000,1495.400024,1466.108765,6910323
